Subsystem	Name	Role	Module1	Module2	Module3	Phenotype
Galactose and Tagatose utilization HMP	LacA	Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)	Carbohydrate utilization	Galactose utilization	Galactose catabolism	Gal
Galactose and Tagatose utilization HMP	LacB	Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	Carbohydrate utilization	Galactose utilization	Galactose catabolism	Gal
Galactose and Tagatose utilization HMP	AgaZ	Tagatose-6-phosphate kinase (EC 2.7.1.144)	Carbohydrate utilization	Galactose utilization; Tagatose utilization	Galactose catabolism; Tagatose catabolism	Gal; Tag
Galactose and Tagatose utilization HMP	GatY	Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)	Carbohydrate utilization	Galactose utilization; Tagatose utilization	Galactose catabolism; Tagatose catabolism	Gal; Tag
Galactose and Tagatose utilization HMP	GatA	PTS system, galactose-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	GatB	PTS system, galactose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	GatC	PTS system, galactose-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	Gal_IID	Predicted PTS system, galactose-specific IID component	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	Gal_IIC	Predicted PTS system, galactose-specific IIC component	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	Gal_IIB	Predicted PTS system, galactose-specific IIB component	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	Gal_IIA	Predicted PTS system, galactose-specific IIA component	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Galactose and Tagatose utilization HMP	TagABb	PTS system, tagatose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Tagatose utilization	Tagatose uptake	Tag
Galactose and Tagatose utilization HMP	TagABc	PTS system, tagatose-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Tagatose utilization	Tagatose uptake	Tag
Galactose and Tagatose utilization HMP	TagABa	PTS system, tagatose-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Tagatose utilization	Tagatose uptake	Tag
Galactose and Tagatose utilization HMP	TagK	D-tagatose-1-phosphate kinase (EC 2.7.1.234)	Carbohydrate utilization	Tagatose utilization	Tagatose catabolism	Tag
Galactose and Tagatose utilization HMP	GatZ	Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144)	Carbohydrate utilization	Galactose utilization; Tagatose utilization	Galactose catabolism; Tagatose catabolism	Gal; Tag
Galactose and Tagatose utilization HMP	LacR1	Lactose phosphotransferase system repressor	Carbohydrate utilization	Galactose utilization	Galactose regulation	Gal
Galactose and Tagatose utilization HMP	GalR2	Galactose operon repressor, GalR-LacI family of transcriptional regulators	Carbohydrate utilization	Galactose utilization	Galactose regulation	Gal
Galactose and Tagatose utilization HMP	GalR	Transcriptional regulator of galactose metabolism, DeoR family	Carbohydrate utilization	Tagatose utilization	Tagatose regulation	Tag
Galactose and Tagatose utilization HMP	TagR1	Tagatose-phosphate transcriptional repressor, RpiR family	Carbohydrate utilization	Tagatose utilization	Tagatose regulation	Tag
Galactose and Tagatose utilization HMP	TagR2	Transcriptional regulator of tagatose utilization, DeoR family	Carbohydrate utilization	Tagatose utilization	Tagatose regulation	Tag
Galactose and Tagatose utilization HMP	TagR3	Predicted transcriptional repressor of tagatose utilization, DeoR family	Carbohydrate utilization	Tagatose utilization	Tagatose regulation	Tag
Galactose and Tagatose utilization HMP	GalR3	Transcriptional regulator of galactose metabolism, LacI family	Carbohydrate utilization	Galactose utilization	Galactose regulation	Gal
Galactose and Tagatose utilization HMP	LacS	Lactose and galactose permease, GPH translocator family	Carbohydrate utilization	Galactose utilization	Galactose uptake	Gal
Gluconate utilization HMP	GntK	Gluconokinase (EC 2.7.1.12)	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	Gnd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	GntA	Gluconate dehydratase (EC 4.2.1.39)	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	GntP	Gluconate permease	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntP2	Gluconate permease, Bsu4004 homolog	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntT	High-affinity gluconate transporter GntT	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntT2	Gluconate transporter family protein	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntT3	D-gluconate transporter (2.A.1.14)	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntU	Low-affinity gluconate/H+ symporter GntU	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	TRAPlp	Predicted TRAP-type gluconate transport system, large permease component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	TRAPsp	Predicted TRAP-type gluconate transport system, small permease component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	TRAPsbp	TRAP-type transport system, periplasmic component, predicted glutamate-binding protein	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	PTSa	PTS system, gluconate-specific IIA component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	PTSb	PTS system, gluconate-specific IIB component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	PTSc	PTS system, gluconate-specific IIC component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	PTSd	PTS system, gluconate-specific IID component	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	ABCp2	Putative D-gluconate ABC transporter, permease protein 1	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	ABCs	Putative D-gluconate ABC transporter, substrate-binding protein	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	ABCp1	Putative D-gluconate ABC transporter, permease protein 2	Carbohydrate utilization	Gluconate utilization	Gluconate uptake	Gnt
Gluconate utilization HMP	GntR2	Transcriptional regulator for gluconate utilization, GntR family	Carbohydrate utilization	Gluconate utilization	Gluconate regulation	Gnt
Gluconate utilization HMP	GntR	Gluconate operon transcriptional repressor	Carbohydrate utilization	Gluconate utilization	Gluconate regulation	Gnt
Gluconate utilization HMP	GntR1	Gluconate utilization system Gnt-I transcriptional repressor	Carbohydrate utilization	Gluconate utilization	Gluconate regulation	Gnt
Gluconate utilization HMP	GndR	Predicted phosphogluconate utilization regulator, RpiR family	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	ManE	Predicted 6-phosphomannonate 2-epimerase	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	STP_Gnt	Sugar-terminal-phosphatase (EC 3.1.3.58)	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Gluconate utilization HMP	DUF_Gnt	hypothetical membrane-bound protein from gluconate utilization operon	Carbohydrate utilization	Gluconate utilization	Gluconate catabolism	Gnt
Glucose utilization HMP	GlcK	Glucokinase (EC 2.7.1.2)	Carbohydrate utilization	Glucose utilization	Glucose catabolism	Glc
Glucose utilization HMP	Hxk	Hexokinase (EC 2.7.1.1)	Carbohydrate utilization	Glucose utilization	Glucose catabolism	Glc
Glucose utilization HMP	PpgK	Polyphosphate glucokinase (EC 2.7.1.63)	Carbohydrate utilization	Glucose utilization	Glucose catabolism	Glc
Glucose utilization HMP	GlcT	Galactose/glucose transporter, FHS family, MFS superfamily	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlcU	glucose uptake protein	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	SS	Sugar symporter in Akkermansia	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlcP	Glucose/mannose:H+ symporter GlcP	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlcP1	Glucose MFS permease (TC 2.A.1.1.42)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GxgA	Galactose/xylose/glucose ABC transport system, ATP-binding component	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GxgB	Galactose/xylose/glucose ABC transport system, permease component	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GxgC	Galactose/xylose/glucose ABC transport system, substrate-binding component	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	PtsGa	PTS system, glucose-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	PtsGb	PTS system, glucose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	PtsGc	PTS system, glucose-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlvB	PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlvC	PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlvA	PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	ManM	PTS system, mannose/glucose/N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	ManN	PTS system, mannose/glucose/N-acetylglucosamine-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	ManLa	PTS system, mannose/glucose/N-acetylglucosamine-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	ManLb	PTS system, mannose/glucose/N-acetylglucosamine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Glucose utilization	Glucose uptake	Glc
Glucose utilization HMP	GlcR1	Glucose utilization antiterminator, BglG family	Carbohydrate utilization	Glucose utilization	Glucose regulation	Glc
Glucose utilization HMP	GlcR2	Transcription antiterminator GlcT	Carbohydrate utilization	Glucose utilization	Glucose regulation	Glc
Glucose utilization HMP	GlvR	Predicted transcriptional regulator of glucose utilization, GntR family	Carbohydrate utilization	Glucose utilization	Glucose regulation	Glc
Hexuronates utilization HMP	UxuA	Mannonate dehydratase (EC 4.2.1.8)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuB	D-mannonate oxidoreductase (EC 1.1.1.57)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxaA	Altronate dehydratase (EC 4.2.1.7)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxaB	Altronate oxidoreductase (EC 1.1.1.58)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxaC	Uronate isomerase (EC 5.3.1.12)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxaC2	Uronate isomerase, family BH0493 (EC 5.3.1.12)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxaE	Novel D-tagaturonate epimerase	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ManK	Novel D-mannonate kinase	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ManE	Predicted 6-phosphomannonate 2-epimerase	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	GntK	Novel D-gluconate kinase involved in hexuronate catabolism	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	GntE	Predicted D-mannonate epimerase	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ExuT	Hexuronate transporter	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	ExuT2	Predicted hexuronate transporter, GPH family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	UxuP	TRAP-type hexuronate transport system, periplasmic component	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	UxuQ	TRAP-type hexuronate transport system, small permease component	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	UxuM	TRAP-type hexuronate transport system, large permease component	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	ExuA	Predicted hexuronate ABC transporter, ATP-binding component	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	ExuC	Predicted hexuronate ABC transporter, inner membrane permease	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	ExuB	Predicted hexuronate ABC transporter, solute-binding periplasmic protein	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	ExuD	Predicted hexuronate ABC transporter, permease protein	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	UidA	Beta-glucuronidase (EC 3.2.1.31)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcAs
Hexuronates utilization HMP	UidB2	Glucuronide permease	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	UidB1	Glucuronide transporter UidB	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	UidB3	Predicted beta-glucuronide-specific PTS system, IIABC components	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	GusA	Putative glucuronide ABC transporter substrate-binding component (TC 3.A.1.1)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	GusB	Putative glucuronide ABC transporter permease component 1 (TC 3.A.1.1)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	GusC	Putative glucuronide ABC transporter permease component 2 (TC 3.A.1.1)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	Pgl	Polygalacturonase (EC 3.2.1.15)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	PelX	Exopolygalacturonate lyase (EC 4.2.2.9)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	Ogl	Oligogalacturonate lyase (EC 4.2.2.6)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	TogMN	Oligogalacturonide ABC transporter, inner membrane permease	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	TogA	Oligogalacturonide ABC transporter, ATP-binding component	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	TogB	Oligogalacturonide ABC transporter, solute-binding periplasmic protein	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	OglP	Predicted oligogalacturonate TRAP transporter, substrate-binding subunit	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	OglQ	Predicted oligogalacturonate TRAP transporter, small transmembrane subunit	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	OglM	Predicted oligogalacturonate TRAP transporter, large transmembrane subunit	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	TogT	Oligogalacturonide transporter	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GalAs
Hexuronates utilization HMP	KdgM	Oligogalacturonate-specific porin protein KdgM	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	SusC_HG	SusC, outer membrane protein involved in oligogalacturonate binding	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	SusD_HG	SusD, outer membrane protein involved in oligogalacturonate binding	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	SGBP_HG	Surface glycan binding protein, homogalacturonan-specific	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	GusH	Putative beta-glucuronidase (GH154)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcAs
Hexuronates utilization HMP	GH31	Predicted Alpha-glucuronidase (GH31)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	Udh	Uronate dehydrogenase (EC 1.1.1.203)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuF	D-galactaro-1,5-lactonase/D-glucaro-1,5-lactonase UxuF	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuL	D-galactaro-1,5-lactonase/D-glucaro-1,5-lactonase UxuL	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	Gci	D-galactarolactone cycloisomerase (EC 5.5.1.27)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	Gli	D-galactarolactone isomerase (EC 5.4.1.4)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UidC	Glucuronide transport facilitator UidC	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcAs
Hexuronates utilization HMP	GntP	Fructuronate transporter GntP	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates uptake	GlcA; GalA
Hexuronates utilization HMP	LplD	Alpha-galacturonidase (EC 3.2.1.67)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	PelA	Pectate lyase precursor (EC 4.2.2.2)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	PelB	Pectate lyase (EC 4.2.2.2)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	PelL	Pectate lyase L precursor (EC 4.2.2.2)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	KdgF	Pectin degradation protein KdgF	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Hexuronates utilization HMP	UxuR	Uxu operon transcriptional regulator	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuR2	Predicted regulator for glucuronate utilization, LacI family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	HexR	Predicted regulator for galacturonate utilization, LacI family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ExuR2	Predicted regulator for galacturonate utilization, GntR family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	TogR	Predicted transcriptional regulator for oligogalacturonate utilization, AraC family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ExuR	Hexuronate utilization transcriptional regulator, GntR family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	ExuR3	Hexuronate utilization operon transcriptional repressor ExuR	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuR4	D-glucuronate-specific transcriptional regulator, LacI family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UxuR3	Predicted regulator for glucuronate utilization, GntR family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	UidR	Predicted transcriptional regulator for beta-glucuronide utilization, AraC family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	HexQ	Two-component response regulator for hexuronate utilization, AraC family	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates regulation	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	HexS	Two-component system sensor histidine kinase for hexuronate utilization	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GlcA; GalA; GlcAs; GalAs
Hexuronates utilization HMP	PaeX	Pectin acetylesterase (EC 3.1.1.6)	Carbohydrate utilization	Galacturonate, Glucuronate, Oligogalacturonate and Glucuronide utilization	Hexuronates catabolism	GalAs
Inositol utilization HMP	IolG	Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolG1	Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolG2	Myo-inositol 2-dehydrogenase 2 (EC 1.1.1.18)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolG3	putative scyllo-inositol 2-dehydrogenase	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolI	Inosose isomerase (EC 5.3.99.11)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolE	Inosose dehydratase (EC 4.2.1.44)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (EC 3.7.1.22)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolB	5-deoxy-glucuronate isomerase (EC 5.3.1.30)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolC	5-keto-2-deoxygluconokinase (EC 2.7.1.92)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolJ	5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
Inositol utilization HMP	IolJ2	5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	Carbohydrate utilization	Inositol utilization	Inositol catabolism	Ino
