subsystem	short_name	long_name
Deoxyribose utilization HMP	DeoG	Putative deoxyribose ABC transporter permease component 1 (TC 3.A.1.2)
Deoxyribose utilization HMP	DeoH	Putative deoxyribose ABC transporter permease component 2 (TC 3.A.1.2)
Deoxyribose utilization HMP	DeoQ	Putative transcriptional regulator of deoxyribose utilization (DeoR family)
Deoxyribose utilization HMP	DeoI	Putative transcriptional regulator of deoxyribose utilization (LacI family)
L-galactonate and L-gulonate utilization HMP	GulD	L-gulonate 5-dehydrogenase (EC 1.1.1.380)
L-galactonate and L-gulonate utilization HMP	LgaD	L-galactonate oxidoreductase (EC 1.1.1.414)
L-galactonate and L-gulonate utilization HMP	LgaQ	TRAP-type L-galactonate transport system, small permease component
L-galactonate and L-gulonate utilization HMP	LgaP	TRAP-type L-galactonate transport system, periplasmic component
L-galactonate and L-gulonate utilization HMP	LgaM	TRAP-type L-galactonate transport system, large permease component
L-galactonate and L-gulonate utilization HMP	LgaT1	Probable L-galactonate transporter (TC 2.A.1.14)
L-galactonate and L-gulonate utilization HMP	LgaT2	Putative L-galactonate permease, GntP family
L-galactonate and L-gulonate utilization HMP	GulQ	TRAP-type L-gulonate transport system, small permease component
L-galactonate and L-gulonate utilization HMP	GulP	TRAP-type L-gulonate transport system, periplasmic component
L-galactonate and L-gulonate utilization HMP	GulM	TRAP-type L-gulonate transport system, large permease component
L-galactonate and L-gulonate utilization HMP	UxaA	Altronate dehydratase (EC 4.2.1.7)
L-galactonate and L-gulonate utilization HMP	UxuA	Mannonate dehydratase (EC 4.2.1.8)
L-galactonate and L-gulonate utilization HMP	UxuB	D-mannonate oxidoreductase (EC 1.1.1.57)
L-galactonate and L-gulonate utilization HMP	UxaB	Altronate oxidoreductase (EC 1.1.1.58)
L-galactonate and L-gulonate utilization HMP	LgoR	Regulator of L-galactonate catabolism LgoR, GntR family
L-galactonate and L-gulonate utilization HMP	GulR	Gulonate utilization operon transcriptional repressor GulR
L-galactonate and L-gulonate utilization HMP	GulT1	Probable L-gulonate transporter (TC 2.A.1.14)
L-galactonate and L-gulonate utilization HMP	GulT2	Probable L-gulonate transporter (TC 2.A.1.6)
L-galactonate and L-gulonate utilization HMP	GulT3	Putative fuconate or L-gulonate permease, GntP family
L-galactonate and L-gulonate utilization HMP	LgaT3	Predicted L-galactonate transporter, KdgT-related
Mannosylglycerate utilization HMP	MngB	Mannosylglycerate hydrolase (EC 3.2.1.170)
Mannosylglycerate utilization HMP	MngAa	PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIA component (EC 2.7.1.195)
Mannosylglycerate utilization HMP	MngAb	PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIB component (EC 2.7.1.195)
Mannosylglycerate utilization HMP	MngAc	PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIC component
Mannosylglycerate utilization HMP	MngTa	PTS system, predicted mannosylglycerate-specific IIA component (EC 2.7.1.69)
Mannosylglycerate utilization HMP	MngTb	PTS system, predicted mannosylglycerate-specific IIB component (EC 2.7.1.69)
Mannosylglycerate utilization HMP	MngTc	PTS system, predicted mannosylglycerate-specific IIC component (EC 2.7.1.69)
Mannosylglycerate utilization HMP	MngR1	Mannosyl-D-glycerate utilization repressor MngR
Mannosylglycerate utilization HMP	MngR2	Predicted transcriptional antiterminator of mannosylglycerate utilization, BglG family
Mannosylglycerate utilization HMP	MngR3	Predicted mannosylglycerate utilization regulator, RpiR family
Mannosylglycerate utilization HMP	GK	Glycerate kinase (EC 2.7.1.31)
Mannosylglycerate utilization HMP	GgaP	Glucosylglycerate phosphorylase (EC 2.4.1.352)
Mannitol utilization HMP	MtlD1	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)
Mannitol utilization HMP	MtlD2	Predicted mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)
Mannitol utilization HMP	MtlAc	PTS system, mannitol-specific IIC component (EC 2.7.1.69)
Mannitol utilization HMP	MtlAb	PTS system, mannitol-specific IIB component (EC 2.7.1.69)
Mannitol utilization HMP	MtlAa	PTS system, mannitol-specific IIA component (EC 2.7.1.69)
Mannitol utilization HMP	MtlD	Mannitol 2-dehydrogenase (EC 1.1.1.67)
Mannitol utilization HMP	MPD	Multiple polyol-specific dehydrogenase (EC 1.1.1.-)
Mannitol utilization HMP	MtlP1	Predicted mannitol transporter, GGP family
Mannitol utilization HMP	MtlP2	Putative mannitol MFS permease (TC 2.A.1.18)
Mannitol utilization HMP	MtlE	Various polyols ABC transporter, periplasmic substrate-binding protein
Mannitol utilization HMP	MtlF	Various polyols ABC transporter, permease component 1
Mannitol utilization HMP	MtlG	Various polyols ABC transporter, permease component 2
Mannitol utilization HMP	MtlK	Various polyols ABC transporter, ATP-binding component
Mannitol utilization HMP	MtlR1	Mannitol operon repressor
Mannitol utilization HMP	MtlR2	Mannitol operon activator, BglG family
Mannitol utilization HMP	MtlR3	Transciptional regulator of mannitol utilization, DeoR family
Mannitol utilization HMP	MtlR4	Putative transcriptional regulator of mannitol utilization (ROK family)
Mannitol utilization HMP	ScrK	Fructokinase (EC 2.7.1.4)
Mannitol utilization HMP	FruK	1-phosphofructokinase (EC 2.7.1.56)
Sorbitol and sorbose utilization HMP	SrlD1	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)
Sorbitol and sorbose utilization HMP	SrlD2	Predicted sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)
Sorbitol and sorbose utilization HMP	SrlE	PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SrlB	PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SrlA	PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	GutB	Sorbitol dehydrogenase (EC 1.1.1.14)
Sorbitol and sorbose utilization HMP	SrlP1	Predicted sorbitol permease
Sorbitol and sorbose utilization HMP	SrlP3	Putative sorbitol MFS permease (TC 2.A.1.18)
Sorbitol and sorbose utilization HMP	SrlX	Predicted sorbitol ABC transporter, periplasmic substrate-binding protein
Sorbitol and sorbose utilization HMP	SrlY	Predicted sorbitol ABC transporter, permease protein
Sorbitol and sorbose utilization HMP	SrlZ	Predicted sorbitol ABC transporter, ATP-binding component
Sorbitol and sorbose utilization HMP	SorE	L-sorbose 1-phosphate reductase (EC 1.1.1.-)
Sorbitol and sorbose utilization HMP	SorA	PTS system, sorbose-specific IIA component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SorB	PTS system, sorbose-specific IIB component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SorC	PTS system, sorbose-specific IIC component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SorD	PTS system, sorbose-specific IID component (EC 2.7.1.69)
Sorbitol and sorbose utilization HMP	SorR	Sorbitol operon regulator SorC
Sorbitol and sorbose utilization HMP	SrlR	Putative transcriptional regulator of sorbitol utilization (AraC family)
Sorbitol and sorbose utilization HMP	SrlR1	Glucitol operon activator protein, BglG family
Sorbitol and sorbose utilization HMP	SrlR2	Transciptional regulator of sorbitol utilization, ROK family
Sorbitol and sorbose utilization HMP	SrlR3	Sorbitol operon transcription regulator, DeoR family
Sorbitol and sorbose utilization HMP	SrlR4	Transciptional regulator of sorbitol utilization, LacI family
Sorbitol and sorbose utilization HMP	GutR	Glucitol-responsive transcriptional regulator of glucitol/sorbitol utilization, GutR family
Sorbitol and sorbose utilization HMP	ScrK	Fructokinase (EC 2.7.1.4)
Sorbitol and sorbose utilization HMP	FruK	1-phosphofructokinase (EC 2.7.1.56)
Galactitol utilization HMP	GatD	Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)
Galactitol utilization HMP	GatPa	PTS system, galactitol-specific IIA component (EC 2.7.1.69)
Galactitol utilization HMP	GatPb	PTS system, galactitol-specific IIB component (EC 2.7.1.69)
Galactitol utilization HMP	GatPc	PTS system, galactitol-specific IIC component (EC 2.7.1.69)
Galactitol utilization HMP	GatY	Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)
Galactitol utilization HMP	AgaZ	Tagatose-6-phosphate kinase (EC 2.7.1.144)
Galactitol utilization HMP	GatZ	Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144)
Galactitol utilization HMP	GatR1	Galactitol utilization operon repressor
Galactitol utilization HMP	GatR2	Predicted galactitol operon regulator (Transcriptional antiterminator), BglG family
Pentitol utilization HMP	AtlD	D-arabitol-phosphate dehydrogenase (EC 1.1.1.301)
Pentitol utilization HMP	AtlPc	PTS system, arabitol-specific IIC component (EC 2.7.1.69)
Pentitol utilization HMP	AtlPa	PTS system, arabitol-specific IIA component (EC 2.7.1.69)
Pentitol utilization HMP	AtlPb	PTS system, arabitol-specific IIB component (EC 2.7.1.69)
Pentitol utilization HMP	DalD	D-arabinitol 4-dehydrogenase (EC 1.1.1.11)
Pentitol utilization HMP	RxaT	Ribitol/Xylitol/Arabitol transporter, MFS superfamily
Pentitol utilization HMP	XltD	D-xylitol-phosphate dehydrogenase (EC 1.1.1.-)
Pentitol utilization HMP	XltPa	PTS system, xylitol-specific IIA component (EC 2.7.1.69)
Pentitol utilization HMP	XltPb	PTS system, xylitol-specific IIB component (EC 2.7.1.69)
Pentitol utilization HMP	XltPc	PTS system, xylitol-specific IIC component (EC 2.7.1.69)
Pentitol utilization HMP	XylD	Xylitol dehydrogenase (EC 1.1.1.9)
Pentitol utilization HMP	XltC	Xylitol ABC transporter, periplasmic substrate-binding protein
Pentitol utilization HMP	XltB	Xylitol ABC transporter, permease component
Pentitol utilization HMP	XltA	Xylitol ABC transporter, ATP-binding component
Pentitol utilization HMP	RbtD	Ribitol 2-dehydrogenase (EC 1.1.1.56)
Pentitol utilization HMP	RbtC	Predicted ribitol ABC transporter, periplasmic substrate-binding protein
Pentitol utilization HMP	RbtB	Predicted ribitol ABC transporter, permease component
Pentitol utilization HMP	RbtA	Predicted ribitol ABC transporter, ATP-binding component
Pentitol utilization HMP	MtlE	Various polyols ABC transporter, periplasmic substrate-binding protein
Pentitol utilization HMP	MtlF	Various polyols ABC transporter, permease component 1
Pentitol utilization HMP	MtlG	Various polyols ABC transporter, permease component 2
Pentitol utilization HMP	MtlK	Various polyols ABC transporter, ATP-binding component
Pentitol utilization HMP	AtlR1	Predicted pentitol operon regulator (Transcriptional antiterminator), BglG family
Pentitol utilization HMP	AtlR2	Predicted pentitol operon regulator, NtrC family
Pentitol utilization HMP	XltR	Transcriptional regulator of various polyols utilization, AraC family
Pentitol utilization HMP	XylB	Xylulose kinase (EC 2.7.1.17)
Pentitol utilization HMP	RbtK	D-ribulokinase (EC 2.7.1.47)
Thiamin HMP	ThiS	Sulfur carrier protein ThiS
Thiamin HMP	ThiF	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)
Thiamin HMP	ThiH	2-iminoacetate synthase (ThiH) (EC 4.1.99.19)
Thiamin HMP	ThiO	Glycine oxidase ThiO (EC 1.4.3.19)
Thiamin HMP	ThiG	Thiazole synthase (EC 2.8.1.10)
Thiamin HMP	Thi4	Thiazole biosynthetic enzyme Thi4
Thiamin HMP	ThiC	Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17)
Thiamin HMP	ThiE	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)
Thiamin HMP	ThiM	Hydroxyethylthiazole kinase (EC 2.7.1.50)
Thiamin HMP	ThiD	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
Thiamin HMP	ThiD2	Hypothetical alternative hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
Thiamin HMP	TenA	Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety
Thiamin HMP	ThiY1	Hydroxymethylpyrimidine ABC transporter, substrate-binding component
Thiamin HMP	ThiX1	Hydroxymethylpyrimidine ABC transporter, transmembrane component
Thiamin HMP	ThiZ1	Hydroxymethylpyrimidine ABC transporter, ATPase component
Thiamin HMP	YkoE	Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
Thiamin HMP	YkoD	ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
Thiamin HMP	YkoC	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
Thiamin HMP	YkoDd	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
Thiamin HMP	CytX	Predicted hydroxymethylpyrimidine transporter CytX
Thiamin HMP	ThiW	Substrate-specific component ThiW of predicted thiazole ECF transporter
Thiamin HMP	ThiU	Predicted thiazole transporter ThiU
Thiamin HMP	ThiT	Substrate-specific component ThiT of thiamin ECF transporter
Thiamin HMP	ThiB	Thiamin ABC transporter, substrate-binding component
Thiamin HMP	ThiP	Thiamin ABC transporter, transmembrane component
Thiamin HMP	ThiQ	Thiamin ABC transporter, ATPase component
Thiamin HMP	PnuT	Predicted thiamin transporter PnuT
Thiamin HMP	YkoE2	Substrate-specific component YkoE of thiamin-regulated ECF transporter for Thiamin
Thiamin HMP	YkoD2	ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for Thiamin
Thiamin HMP	YkoD2d	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for Thiamin
Thiamin HMP	YkoC2	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for Thiamin
Thiamin HMP	ThiZ2	Thiamin ABC transporter ThiZ, ATPase component
Thiamin HMP	ThiY2	Thiamin ABC transporter ThiY, substrate-binding component
Thiamin HMP	ThiX2	Thiamin ABC transporter ThiX, transmembrane component
Thiamin HMP	COG0011	Cytoplasmic thiamin-binding component of thiamin ABC transporter, COG0011 family
Thiamin HMP	Omp	Thiamin-regulated outer membrane receptor Omr1
Thiamin HMP	ThiV	Predicted thiamin transporter ThiV, SSS family
Thiamin HMP	YkoF	Putative HMP/thiamine-binding protein YkoF
Thiamin HMP	ThiN	Thiamin pyrophosphokinase (EC 2.7.6.2)
Thiamin HMP	ThiL	Thiamine-monophosphate kinase (EC 2.7.4.16)
Thiamin HMP	ThiK	Thiamine kinase (EC 2.7.1.89)
Thiamin HMP	ThiK3	Putative thiamine kinase, YkoEDC-associated, THI-regulated
Thiamin HMP	TMPase	ThMPase type I predicted
Thiamin HMP	OarX	Thiamin-related 3-oxoacyl-[acyl-carrier protein] reductase OarX
Thiamin HMP	For	Thiamin-related FMN-dependent hydroxylase family protein For
Riboflavin HMP	RibA	GTP cyclohydrolase II (EC 3.5.4.25)
Riboflavin HMP	RibDd	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)
Riboflavin HMP	RibDr	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)
Riboflavin HMP	RibH	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
Riboflavin HMP	RibB	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)
Riboflavin HMP	RibE	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
Riboflavin HMP	RibU	Substrate-specific component RibU of riboflavin ECF transporter
Riboflavin HMP	PnuX	Riboflavin transporter PnuX
Riboflavin HMP	RibZ	Riboflavin transporter, COG2814 family
Riboflavin HMP	ImpX	Predicted riboflavin transporter, EamA family
Riboflavin HMP	RibX	Predicted riboflavin ABC transporter, transmembrane component
Riboflavin HMP	RibY	Predicted riboflavin ABC transporter, substrate-binding component
Riboflavin HMP	RibN	Riboflavin transporter RibN
Riboflavin HMP	RfnT	Riboflavin transporter RfnT, MFS family
Riboflavin HMP	RibF	Riboflavin kinase (EC 2.7.1.26)
Riboflavin HMP	EcfA_B2	Duplicated ATPase component of energizing module of riboflavin ECF transporter
Riboflavin HMP	EcfT_B2	Transmembrane component of energizing module of riboflavin ECF transporter
Riboflavin HMP	BrbF	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase (EC 3.5.1.102), bacterial
Riboflavin HMP	PyrD	2,5-diamino-6-ribitylamino-pyrimidinone 5-phosphate deaminase, archaeal (EC 3.5.4.-)
Riboflavin HMP	RibL	FMN adenylyltransferase, type 3 archaeal (EC 2.7.7.2)
NAD Niacin HMP	NadB	L-aspartate oxidase (EC 1.4.3.16)
NAD Niacin HMP	NadB2	L-Aspartate dehydrogenase (EC 1.4.1.21)
NAD Niacin HMP	NadA	Quinolinate synthetase (EC 2.5.1.72)
NAD Niacin HMP	NadC	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)
NAD Niacin HMP	NadD	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)
NAD Niacin HMP	NadE	NAD synthetase (EC 6.3.1.5)
NAD Niacin HMP	NadV	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)
NAD Niacin HMP	NadM	Nicotinamide-nucleotide adenylyltransferase, NadM family (EC 2.7.7.1)
NAD Niacin HMP	PncB1	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
NAD Niacin HMP	PncB2	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)
NAD Niacin HMP	PncA	Nicotinamidase (EC 3.5.1.19)
NAD Niacin HMP	NadR_AT	Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1)
NAD Niacin HMP	NadR_RK	Ribosylnicotinamide kinase (EC 2.7.1.22)
NAD Niacin HMP	NiaP	Niacin transporter NiaP
NAD Niacin HMP	NiaX	Substrate-specific component NiaX of predicted niacin ECF transporter
NAD Niacin HMP	PnuC	Ribosyl nicotinamide transporter, PnuC-like
NAD Niacin HMP	NiaY	Predicted nicotinate-regulated transporter BH3254
NAD Niacin HMP	NrtR	Nudix-related transcriptional regulator NrtR
NAD Niacin HMP	NiaR	Transcriptional repressor for NAD biosynthesis in gram-positives
NAD Niacin HMP	TDO	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)
NAD Niacin HMP	KFA_b	Kynurenine formamidase, bacterial (EC 3.5.1.9)
NAD Niacin HMP	KMO	Kynurenine 3-monooxygenase (EC 1.14.13.9)
NAD Niacin HMP	KYN	Kynureninase (EC 3.7.1.3)
NAD Niacin HMP	HAD	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)
NAD Niacin HMP	KFA_e	Kynurenine formamidase (EC 3.5.1.9)
NAD Niacin HMP	PncC	Nicotinamide-nucleotide amidase (EC 3.5.1.42)
NAD Niacin HMP	NadR_HTH	NadR transcriptional regulator
CoA Pantothenate HMP	PanD	Aspartate 1-decarboxylase (EC 4.1.1.11)
CoA Pantothenate HMP	PanP	PLP-dependent aspartate 1-decarboxylase, PanP (EC 4.1.1.15)
CoA Pantothenate HMP	PanB	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)
CoA Pantothenate HMP	PanG	Ketopantoate reductase PanG (EC 1.1.1.169)
CoA Pantothenate HMP	PanE	2-dehydropantoate 2-reductase (EC 1.1.1.169)
CoA Pantothenate HMP	IlvC	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)
CoA Pantothenate HMP	PanC	Pantoate--beta-alanine ligase (EC 6.3.2.1)
CoA Pantothenate HMP	CoaA	Pantothenate kinase (EC 2.7.1.33)
CoA Pantothenate HMP	CoaX	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)
CoA Pantothenate HMP	CoaW	Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)
CoA Pantothenate HMP	CoaB	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
CoA Pantothenate HMP	CoaC	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)
CoA Pantothenate HMP	CoaD	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
CoA Pantothenate HMP	CoaE	Dephospho-CoA kinase (EC 2.7.1.24)
CoA Pantothenate HMP	PanT	Substrate-specific component PanT of predicted pantothenate ECF transporter
CoA Pantothenate HMP	PanF	Pantothenate:Na+ symporter (TC 2.A.21.1.1)
CoA Pantothenate HMP	PanU	Substrate-specific component PanU of pantothenate ECF transporter
CoA Pantothenate HMP	PanM	ATPase component PanM of energizing module of pantothenate ECF transporter
CoA Pantothenate HMP	PanN	Transmembrane component PanN of energizing module of pantothenate ECF transporter
CoA Pantothenate HMP	PanS	Pantothenate precursors transporter PanS
Pyridoxin HMP	PdxS	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)
Pyridoxin HMP	PdxT	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)
Pyridoxin HMP	PdxA	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)
Pyridoxin HMP	PdxJ	Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)
Pyridoxin HMP	PdxK	Pyridoxal kinase (EC 2.7.1.35)
Pyridoxin HMP	PdxU1	Substrate-specific component PdxT of predicted pyridoxine ECF transporter
Pyridoxin HMP	PdxU2	Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter
Pyridoxin HMP	PdxK2	Novel pyridoxal kinase, thiD family (EC 2.7.1.35)
Pyridoxin HMP	PdxR	Predicted transcriptional regulator of pyridoxine metabolism
Pyridoxin HMP	PdxU	Substrate-specific component PdxU of predicted pyridoxine ECF transporter
Pyridoxin HMP	YdcO	Predicted pyridoxine transporter YdcO, BenE family
Pyridoxin HMP	SutR	Transcriptional regulator for sulfur utilization SutR, Xre-family
Pyridoxin HMP	EcfT_B6	Transmembrane component of energizing module of predicted pyridoxine-related ECF transporter
Pyridoxin HMP	EcfA_B6	Duplicated ATPase component of energizing module of predicted pyridoxine-related ECF transporter
Biotin HMP	BioF	8-amino-7-oxononanoate synthase (EC 2.3.1.47)
Biotin HMP	BioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)
Biotin HMP	BioD	Dethiobiotin synthase BioD (EC 6.3.3.3)
Biotin HMP	BioB	Biotin synthase (EC 2.8.1.6)
Biotin HMP	BioC	Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197)
Biotin HMP	BioG	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioG (EC 3.1.1.85)
Biotin HMP	BioH	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioH (EC 3.1.1.85)
Biotin HMP	BioZ	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioZ (EC 3.1.1.85)
Biotin HMP	BioV	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioV (EC 3.1.1.85)
Biotin HMP	BioY	Substrate-specific component BioY of biotin ECF transporter
Biotin HMP	BioN	Transmembrane component BioN of energizing module of biotin ECF transporter
Biotin HMP	BioM	ATPase component BioM of energizing module of biotin ECF transporter
Biotin HMP	BioW	Pimeloyl-CoA synthase (EC 6.2.1.14)
Biotin HMP	BioP	Biotin transporter BioP, DMT family
Biotin HMP	BirA	Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)
Biotin HMP	BioU	Predicted biotin regulator in Bacteroides
Folate HMP	FolE1	GTP cyclohydrolase I (EC 3.5.4.16) type 1
Folate HMP	FolE2	GTP cyclohydrolase I (EC 3.5.4.16) type 2
Folate HMP	FolQ	Dihydroneopterin triphosphate pyrophosphohydolase
Folate HMP	FolQ2	Dihydroneopterin triphosphate pyrophosphohydrolase type 2
Folate HMP	FolQ3	Putative DHNTP pyrophosphatase
Folate HMP	FolB2	Folate biosynthesis protein PTPS-III, catalyzes a reaction that bypasses dihydroneopterin aldolase (FolB)
Folate HMP	FolB	Dihydroneopterin aldolase (EC 4.1.2.25)
Folate HMP	FolK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
Folate HMP	FolP	Dihydropteroate synthase (EC 2.5.1.15)
Folate HMP	FolA	Dihydrofolate reductase (EC 1.5.1.3)
Folate HMP	FolM	FolM Alternative dihydrofolate reductase 1
Folate HMP	FolA2	Alternative dihydrofolate reductase 2
Folate HMP	FolA3	Alternative dihydrofolate reductase 3
Folate HMP	FolC	Dihydrofolate synthase (EC 6.3.2.12)
Folate HMP	PabA	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)
Folate HMP	PabB	Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)
Folate HMP	PabC	Aminodeoxychorismate lyase (EC 4.1.3.38)
Folate HMP	FolT	Substrate-specific component FolT of folate ECF transporter
Folate HMP	PabX	hypothetical protein linked to PabC
B12 Cobalamin HMP	CnoA	Predicted cobalt ABC transporter, periplasmic substrate-binding component CnoA
B12 Cobalamin HMP	CnoB	Predicted cobalt ABC transporter, permease protein CnoB
B12 Cobalamin HMP	CnoD	Predicted cobalt ABC transporter, ATP-binding protein CnoD
B12 Cobalamin HMP	CnoC	Predicted cobalt ABC transporter, permease protein CnoC
B12 Cobalamin HMP	CbtF	Predicted cobalt ABC transporter periplasmic component
B12 Cobalamin HMP	CbtA	Predicted cobalt transporter CbtA
B12 Cobalamin HMP	CbtC	Predicted cobalt transporter CbtC
B12 Cobalamin HMP	CbtD	Predicted cobalt transporter in Bacteroides_Porphyromonas
B12 Cobalamin HMP	CbtG	Predicted cobalt transporter in Mycobacteria
B12 Cobalamin HMP	CbtX	Predicted cobalt transporter in sulfate-reducing delta-proteobacteria
B12 Cobalamin HMP	CbiM	Substrate-specific component CbiM of cobalt ECF transporter
B12 Cobalamin HMP	CbiO	ATPase component CbiO of energizing module of cobalt ECF transporter
B12 Cobalamin HMP	CbiQ	Transmembrane component CbiQ of energizing module of cobalt ECF transporter
B12 Cobalamin HMP	CbiN	Additional substrate-specific component CbiN of cobalt ECF transporter
B12 Cobalamin HMP	NiCoT	HoxN/HupN/NixA family cobalt transporter
B12 Cobalamin HMP	ChlI	ChlI component of cobalt chelatase involved in B12 biosynthesis
B12 Cobalamin HMP	ChlD	ChlD component of cobalt chelatase involved in B12 biosynthesis
B12 Cobalamin HMP	CobN	Aerobic cobaltochelatase CobN subunit (EC 6.6.1.2)
B12 Cobalamin HMP	CbiK	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)
B12 Cobalamin HMP	CbiL	Cobalt-precorrin-2 C(20)-methyltransferase (EC 2.1.1.151)
B12 Cobalamin HMP	CbiH	Cobalt-precorrin-3 C(17)-methyltransferase (EC 2.1.1.272)
B12 Cobalamin HMP	CbiF	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)
B12 Cobalamin HMP	CbiD	Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)
B12 Cobalamin HMP	CbiG	Cobalt-precorrin 5A hydrolase (EC 3.7.1.12)
B12 Cobalamin HMP	CbiJ	Cobalt-precorrin-6A reductase (EC 1.3.1.106)
B12 Cobalamin HMP	CbiT	Cobalt-precorrin-6B C15-methyltransferase [decarboxylating] (EC 2.1.1.196)
B12 Cobalamin HMP	CbiE	Cobalt-precorrin-7 (C5)-methyltransferase (EC 2.1.1.289)
B12 Cobalamin HMP	CbiC	Cobalt-precorrin-8 methylmutase (EC 5.4.99.60)
B12 Cobalamin HMP	CbiA	Cobyrinic acid a,c-diamide synthetase (EC 6.3.5.11)
B12 Cobalamin HMP	BtuR1	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
B12 Cobalamin HMP	BtuR2	ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
B12 Cobalamin HMP	CbiP	Cobyric acid synthase (EC 6.3.5.10)
B12 Cobalamin HMP	CbiB	Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)
